This file is to normalize the text so that british spellings can be recognized as american english. 
   COLUMN 1: the Americanized spelling of a word (what gets indexed)
   COLUMN 2: the British spelling (what is looked for in the text)
Adapted from https://raw.githubusercontent.com/AdmitHub/normalize-english/master/data/british.js

Index or Substitute?  SUBSTITUTE
pulveriz             pulveris
pummel               pummell
pajama               pyjama
pizzazz              pzazz
quarrel              quarrell
radicaliz            radicalis
rancor               rancour
randomiz             randomis
rationaliz           rationalis
ravel                ravell
realiz               realis
recogniz             recognis
reconnoiter          reconnoitre
regulariz            regularis
revel                revell
revitaliz            revitalis
revolutioniz         revolutionis
rhapsodiz            rhapsodis
rigor                rigour
ritualiz             ritualis
rival                rivall
romanticiz           romanticis
rumor                rumour
saber                sabre
saltpeter            saltpetre
sanitiz              sanitis
satiriz              satiris
savior               saviour
savor                savour
scandaliz            scandalis
skeptic              sceptic
scepter              sceptre
scrutiniz            scrutinis
seculariz            secularis
sensationaliz        sensationalis
sensitiz             sensitis
sentimentaliz        sentimentalis
sepulcher            sepulchre
serializ             serialis
sermoniz             sermonis
shovel               shovell
shrivel              shrivell
signaliz             signalis
signal               signall
smolder              smoulder
snivel               snivell
snorkel              snorkell
snowplow             snowplough
socializ             socialis
sodomiz              sodomis
solemniz             solemnis
somber               sombre
specializ            specialis
specter              spectre
spiral               spirall
splendor             splendour
squirrel             squirrell
stabiliz             stabilis
standardiz           standardis
stencil              stencill
steriliz             sterilis
stigmatiz            stigmatis
story                storey
stories              storeys
subsidiz             subsidis
succor               succour
sulfate              sulphate
sulfide              sulphide
sulfur               sulphur
summariz             summaris
swivel               swivell
symboliz             symbolis
sympathiz            sympathis
synchroniz           synchronis
synthesiz            synthesis
siphon               syphon
systematiz           systematis
tantaliz             tantalis
tassel               tassell
temporiz             temporis
tenderiz             tenderis
terroriz             terroris
theater              theatre
theoriz              theoris
ton                  tonne
towel                towell
toxemia              toxaemia
trammel              trammell
tranquil             tranquill
transistoriz         transistoris
traumatiz            traumatis
travel               travell
travelog             travelogue
trial                triall
trivializ            trivialis
tumor                tumour
tunnel               tunnell
tyranniz             tyrannis
tire                 tyre
unequal              unequall
unioniz              unionis
urbaniz              urbanis
utiliz               utilis
valor                valour
vandaliz             vandalis
vaporiz              vaporis
vapor                vapour
verbaliz             verbalis
victimiz             victimis
vigor                vigour
visualiz             visualis
vocaliz              vocalis
vulcaniz             vulcanis
vulgariz             vulgaris
wagon                waggon
weasel               weasell
westerniz            westernis
womaniz              womanis
wool                 wooll
yodel                yodell
yogurt               yoghourt|yoghurt
