COLUMN 1: the molecular chemical symbol
COLUMN 2: the molecule, spelled out
reference:https://www.nap.edu/read/21774/chapter/11
The code that reads in this file is specific to molecules and elements and
1                     2                                          3
DCN                   deuterated_hydrogen_*cyanide               deuterium_carbon_nitrogen
DCO                   deuterated_*formyl_radical                 deuterium_carbon_oxygen
DNC                   hydrogen_*isocyanide                       deuterium_carbon_nitrogen
EHNCHCN               *ecyanomethanimine                         hydrogen_carbon_nitrogen
FeCN                  iron_*cyanide                              iron_carbon_nitrogen
FeO                   iron_oxide                                 iron_oxygen
H2NH2CCOOH            *glycine                                   hydrogen_carbon_nitrogen_oxygen
H2COHCHO              *glycolaldehyde                            hydrogen_carbon_oxygen
H3CC2CN               *methylcyanoacetylene                      hydrogen_carbon_nitrogen
HCOOCH3               *methyl_formate                            hydrogen_carbon_oxygen
H2CHCOH               *vinyl_alcohol                             hydrogen_carbon_oxygen
H2COH                 protonated_*formaldehyde                   hydrogen_carbon_oxygen
H3CNH2                *methylamine                               hydrogen_carbon_nitrogen
HC10CN                *cyanopentaacetylene                       hydrogen_carbon_nitrogen
HC2CHO                *propynal                                  hydrogen_carbon_oxygen
HC3NH                 protonated_*cyanacetylene                  hydrogen_carbon_nitrogen
HCCNC                 *isocyanoacetylene                         hydrogen_carbon_nitrogen
HCONH2                *formamide                                 hydrogen_carbon_nitrogen_oxygen
H2C2O                 *ketene                                    hydrogen_carbon_oxygen
H2C3O                 *cyclopropenone                            hydrogen_carbon_oxygen
H2CCN                 *cyanomethyl                               hydrogen_carbon_nitrogen
H2CNH                 *methylenimine                             hydrogen_carbon_nitrogen
HCCNC                 *isocyanoacetylene                         hydrogen_carbon_nitrogen
HCOCN                 *cyanoformaldehyde                         hydrogen_carbon_oxygen_nitrogen
HCOOH                 formic_acid                                hydrogen_carbon_oxygen
H2CN                  *methylene_*amidogen                       hydrogen_carbon_nitrogen
HC4CN                 *cyanodiacetylene                          hydrogen_carbon_nitrogen
HC8CN                 *cyanotetra_*acetylene                     hydrogen_carbon_nitrogen
HCNH                  protonated_hydrogen_*cyanide               hydrogen_carbon_nitrogen
HMgNC                 *hydromagnesium_*isocyanide                hydrogen_carbon_nitrogen_magnesium
HNCNH                 *carbodiimide                              hydrogen_carbon_nitrogen
H13CO                 *formylium                                 hydrogen_carbon_oxygen
H2Cl                  *chloronium                                hydrogen_*chlorine
HOCO                  protonated_carbon_*dioxide                 hydrogen_carbon_oxygen
H213CO                *formaldehyde                              hydrogen_carbon_oxygen
H2CO                  *formaldehyde                              hydrogen_carbon_oxygen
H2C6                  *hexapentaenylidene                        hydrogen_carbon
H2CN                  *methylene_*amidogen                       hydrogen_carbon_nitrogen
H2CS                  *thioformaldehyde                          hydrogen_carbon_sulfur
HC7N                  *cyanohexatriyne                           hydrogen_carbon_nitrogen
HCCO                  *ketenyl                                   hydrogen_cabon_oxygen
HCNO                  *fulminic_acid                             hydrogen_carbon_nitrogen_oxygen
HNCO                  *isocyanic_acid                            hydrogen_carbon_nitrogen_oxygen
HOCN                  *cyanic_acid                               hydrogen_carbon_nitrogen_oxygen
HOOH                  hydrogen_*peroxide                         hydrogen_oxygen
H2C4                  *diacetylene                               hydrogen_carbon
H2D                   *trihydrogen_cation                        hydrogen_deuterium
H2O                   water                                      hydrogen_oxygen
H3O                   *hydronium                                 hydrogen_oxygen
HCO                   *formyl_radical                            hydrogen_carbon_oxygen
HD2                   *trihydrogen_cation                        hydrogen_deuterium
HD                    *trihydrogen_cation                        hydrogen_deuterium
HN                    *diazenylium                               hydrogen_nitrogen
HN2                   *diazenylium                               hydrogen_nitrogen
HOC                   *isoformyl                                 hydrogen_carbon_oxygen
H2C3                  *propadienylidene                          hydrogen_carbon
HSCN                  *thiocyanic_acid                           hydrogen_carbon_nitrogen_sulfur
HC3N                  *cyanoacetylene                            hydrogen_carbon_nitrogen
HDCO                  deuterated_*formaldehyde                   hydrogen_deuterium_carbon_oxygen
HNCS                  *isothiocyanic_acid                        hydrogen_carbon_nitrogen_sulfur
H2C                   *methylene_radical                         hydrogen_carbon
H2S                   hydrogen_*sulfide                          hydrogen_sulfur
H2                    molecular_hydrogen                         hydrogen
