
COLUMN 1: the catalog number to search for, in regular expression format.  The catalog itself should be
in one captured group, the id number and/or coordinate in the other
COLUMN 2: not used by the algorithm, but a human-readable reminder of what format the catalog number is in
COLUMN 3: word, phrase, or multiple phrases to use in the extended search fields (.x) of each of the "words"
indexed when the catalog number in Column 1 is found in the text. 
https://lambda.gsfc.nasa.gov/product/lss/
https://heasarc.gsfc.nasa.gov/docs/cgro/db-perl/W3Browse/w3table.pl?MissionHelp=galaxy_catalog
https://ned.ipac.caltech.edu/level5/CATALOGS/pgc.html
http://cds.u-strasbg.fr/cgi-bin/Dic-Simbad?/542196
http://cdsweb.u-strasbg.fr/cgi-bin/Dic-Simbad?4C

Index or Substitute?  INDEX
eso[0-9]{1,3}[a-z][0-9]{1,3}                                         NNN-gNNN                  |
(esoj?)([0-9]+)                                                      NNN-NNN_or_HHMMSS+DDMM.m  |
fcc[0-9BG]+                                                          NNNN                      *fornax_galaxy_cluster
((?:(?:FIRST)|(?:frs))j?)([0-9]+)                                    HHMMSS.s+DDMMSS           radio_catalog|*vla_catalog|20cm_catalog
(galexascj?)([0-9]+)                                                 HHMMSS.ss+DDMMSS.s        ultraviolet_catalog|*galex_catalog
(galexmscj?)([0-9]+)                                                 HHMMSS.ss|DDMMSS.s        ultraviolet_catalog|*galex_catalog
(?:(?:gj)|(?:gls)|(?:gl)|(?:gliese))(?:[0-9]+)                       NNNN                      star_catalog
gsc[0-9]+                                                            NNNNN-NNNNN               guide_star_catalog|*hst_catalog
hcg[0-9]+                                                            NNN                       compact_galaxy_group_catalog|*hickson_group
(?:(?:hd)|(?:hde))(?:[0-9]+)                                         NNNNNN                    star_catalog
hdce[0-9]+                                                           NNNN                      galaxy_catalog
hip[0-9]+                                                            NNNNNN                    star_catalog
(hipassj?)([0-9]+)                                                   HHMM+DD                   radio_catalog|neutral_hydrogen_catalog
hr[0-9]+                                                             NNNNNN                    star_catalog
ic[0-9]+                                                             NNNN                      galaxy_catalog
(igrj?)([0-9]+)                                                      HHMMm+DDMM                gamma_ray_catalog|*INTEGRAL_catalog
(iras[rfzsx]?j?)([0-9]+)                                             HHMMS+DDMM                *iras_catalog|infrared_catalog
(isossj?)([0-9]+)                                                    HHMMs+DDMM                infrared_catalog|*iso_catalog
(kugj?)([0-9]+)                                                      HHMM+DDd                  galaxy_catalog|ultraviolet_excess_catalog
(lbqsj?)([0-9]+)                                                     HHMM+DDMM                 quasar_catalog
ldc[0-9]+                                                            NNNN                      low_density_contrast_galaxy_catalog|field_galaxy_catalog|2mass_catalog
ldce[0-9]+                                                           NNNN                      galaxy_group_catalog
leda[0-9]+                                                           NNNNNNN                   galaxy_catalog
lgs[0-9]+                                                            NN                        local_group_galaxy_catalog
lp[0-9]+                                                             NNN-NNNN                  star_proper_motion_catalog
(?:(?:messier)|(?:mess)|(?:M))(?:[0-9]+)                             NNN                       galaxy_catalog
malin[0-9]+                                                          NNN                       low_surface_brightness_galaxy_catalog
mcg[0-9]+                                                            +NN-NN-NNNN               galaxy_catalog
